,AAPL,GOOG,MSFT
2025-07-07 13:30:00+00:00,214.72999572753906,179.5500030517578,
2025-07-07 13:31:00+00:00,215.68499755859375,179.88999938964844,
2025-07-07 13:32:00+00:00,215.19000244140625,179.99000549316406,
2025-07-07 13:33:00+00:00,,180.05999755859375,
2025-07-07 13:34:00+00:00,214.40499877929688,179.9232940673828,
2025-07-07 13:35:00+00:00,213.7899932861328,179.72500610351562,
2025-07-07 13:36:00+00:00,213.58999633789062,179.7449951171875,
2025-07-07 13:37:00+00:00,213.8300018310547,179.75,
2025-07-07 13:38:00+00:00,213.33999633789062,179.52650451660156,
2025-07-07 13:39:00+00:00,213.30999755859375,179.38999938964844,
2025-07-07 13:40:00+00:00,213.44000244140625,179.38999938964844,
2025-07-07 13:41:00+00:00,213.5800018310547,179.03759765625,
2025-07-07 13:42:00+00:00,213.13999938964844,179.17999267578125,
2025-07-07 13:43:00+00:00,213.214599609375,179.17759704589844,
2025-07-07 13:44:00+00:00,213.25,179.1649932861328,
2025-07-07 13:45:00+00:00,213.00999450683594,179.03500366210938,
2025-07-07 13:46:00+00:00,212.7301025390625,178.88999938964844,
2025-07-07 13:47:00+00:00,212.64999389648438,178.77999877929688,
2025-07-07 13:48:00+00:00,212.8253936767578,178.99000549316406,
2025-07-07 13:49:00+00:00,212.6699981689453,179.04620361328125,
2025-07-07 13:50:00+00:00,212.72000122070312,179.17149353027344,
2025-07-07 13:51:00+00:00,212.80999755859375,179.39500427246094,
2025-07-07 13:52:00+00:00,212.9499969482422,179.38999938964844,
2025-07-07 13:53:00+00:00,212.74000549316406,179.36000061035156,
2025-07-07 13:54:00+00:00,212.86000061035156,179.2899932861328,
2025-07-07 13:55:00+00:00,213.16990661621094,179.06500244140625,
2025-07-07 13:56:00+00:00,212.97999572753906,178.98500061035156,
2025-07-07 13:57:00+00:00,212.9512939453125,179.11000061035156,
2025-07-07 13:58:00+00:00,213.24000549316406,179.2100067138672,
2025-07-07 13:59:00+00:00,212.9499969482422,179.0749969482422,
2025-07-07 14:00:00+00:00,212.99000549316406,179.01220703125,
2025-07-07 14:01:00+00:00,212.81500244140625,178.85000610351562,
